P_req_W,Power_actual_W,D0_opt,D1_opt,D2_opt,Irms_opt_A,Efficiency_%,Mode,Power_error_W,Power_error_%
3950,4036.4459519999987,0.88,0.45999999999999996,0.49,15.044190087582928,98.89101588255723,2.0,86.44595199999867,2.187951202227251
4000,4098.228287999998,0.88,0.49,0.49,14.999505708379923,98.91396118270211,2.0,98.22828799999843,2.4550934266433
4050,4098.228287999998,0.88,0.49,0.49,14.999505708379923,98.91396118270211,2.0,48.22828799999843,1.1905279684028247
4100,4098.228287999998,0.88,0.49,0.49,14.999505708379923,98.91396118270211,2.0,1.7717120000015711,0.043201950743759356
4150,4098.228287999998,0.88,0.49,0.49,14.999505708379923,98.91396118270211,2.0,51.77171200000157,1.2472105998554945
4200,4279.455179999999,0.13,0.52,0.55,15.599786077021284,98.87547941395263,2.0,79.45517999999902,1.891339681028303
4250,4345.292952,0.13,0.52,0.52,15.553774492882297,98.89878154605458,2.0,95.29295199999979,2.2416596565513944
4300,4389.295638,0.13,0.49,0.49,15.523022642876946,98.91396118428524,2.0,89.2956379999996,2.076159916298526
4350,4389.295638,0.13,0.49,0.49,15.523022642876946,98.91396118428524,2.0,39.2956379999996,0.90314038152148
4400,4389.295638,0.13,0.49,0.49,15.523022642876946,98.91396118428524,2.0,10.704362000000401,0.2432256759827403
4450,4389.295638,0.13,0.49,0.49,15.523022642876946,98.91396118428524,2.0,60.7043620000004,1.3638364861828893
4500,4581.9165,0.85,0.4,0.43,16.722684319442063,98.79406014042985,3.0,81.91650000000027,1.8199622306154246
4550,4649.764350000001,0.85,0.37,0.49,16.678025795931234,98.81771238996613,2.0,99.76435000000129,2.192141287629121
4600,4699.494450000001,0.85,0.49,0.61,16.645292660834894,98.83461132872678,2.0,99.49445000000105,2.162452727667921
4650,4726.6086000000005,0.85,0.43,0.45999999999999996,16.627445700242173,98.84367392634731,2.0,76.60860000000048,1.64714254998926
4700,4798.954650000001,0.85,0.43,0.49,16.579826390642225,98.86734876388272,2.0,98.95465000000058,2.104970219102331
4750,4849.0596000000005,0.85,0.45999999999999996,0.52,16.546846523371798,98.88332696539061,2.0,99.0596000000005,2.085026310250484
4800,4898.5398000000005,0.85,0.52,0.52,16.514277876391525,98.89878154859682,2.0,98.53980000000047,2.052484898979389
4850,4948.144950000001,0.85,0.49,0.49,16.48162698535322,98.91396118680275,2.0,98.14495000000079,2.023190063904366
4900,4948.144950000001,0.85,0.49,0.49,16.48162698535322,98.91396118680275,2.0,48.14495000000079,0.9823495205060352
4950,4948.144950000001,0.85,0.49,0.49,16.48162698535322,98.91396118680275,2.0,1.8550499999992098,0.03746818824478307
5000,4948.144950000001,0.85,0.49,0.49,16.48162698535322,98.91396118680275,2.0,51.85504999999921,1.036893621275729
