D0,D1,D2,mode,I_rms_sq_original,k
0.06999999999999999,0.88,0.64,1,-4056962133333333.0,0.98
0.06999999999999999,0.88,0.6699999999999999,1,-3921816533333336.5,0.98
0.06999999999999999,0.88,0.7,1,-3690690133333328.5,0.98
0.06999999999999999,0.88,0.73,1,-3363582933333333.0,0.98
0.06999999999999999,0.88,0.76,1,-2940494933333317.0,0.98
0.06999999999999999,0.88,0.79,1,-2421426133333346.0,0.98
0.06999999999999999,0.9099999999999999,0.33999999999999997,1,-130667733333334.66,0.98
0.06999999999999999,0.9099999999999999,0.37,1,-955330133333340.8,0.98
0.06999999999999999,0.9099999999999999,0.4,1,-1684011733333334.0,0.98
0.06999999999999999,0.9099999999999999,0.43,1,-2316712533333332.0,0.98
0.06999999999999999,0.9099999999999999,0.45999999999999996,1,-2853432533333332.0,0.98
0.06999999999999999,0.9099999999999999,0.49,1,-3294171733333328.5,0.98
0.06999999999999999,0.9099999999999999,0.52,1,-3638930133333337.0,0.98
0.06999999999999999,0.9099999999999999,0.55,1,-3887707733333325.0,0.98
0.06999999999999999,0.9099999999999999,0.58,1,-4040504533333339.0,0.98
0.06999999999999999,0.9099999999999999,0.61,1,-4097320533333338.5,0.98
0.06999999999999999,0.9099999999999999,0.64,1,-4058155733333335.5,0.98
0.06999999999999999,0.9099999999999999,0.6699999999999999,1,-3923010133333339.0,0.98
0.06999999999999999,0.9099999999999999,0.7,1,-3691883733333331.0,0.98
0.06999999999999999,0.9099999999999999,0.73,1,-3364776533333335.5,0.98
0.06999999999999999,0.9099999999999999,0.76,1,-2941688533333319.5,0.98
0.06999999999999999,0.9099999999999999,0.79,1,-2422619733333348.5,0.98
0.06999999999999999,0.9099999999999999,0.82,1,-1807570133333345.5,0.98
0.06999999999999999,0.94,0.33999999999999997,1,-131918933333334.81,0.98
0.06999999999999999,0.94,0.37,1,-956581333333340.9,0.98
